zip5,lat,lng,state,city
00000,,,,
00005,,,,
00012,,,,
00042,,,,
00233,,,,
00480,,,,
00501,42.225326,-74.901651,NY,
00504,42.106526,-75.245251,NY,
00524,42.498926,-74.577651,NY,
00601,,,PR,
00602,,,PR,
00603,,,PR,
00604,,,PR,
00605,,,PR,
00606,,,PR,
00607,,,PR,
00610,,,PR,
00611,,,PR,
00612,,,PR,
00613,,,PR,
00616,,,PR,
00617,,,PR,
00622,,,PR,
00623,,,PR,
00624,,,PR,
00625,,,PR,
00627,,,PR,
00630,,,PR,
00637,,,PR,
00638,,,PR,
00641,,,PR,
00646,,,PR,
00650,,,PR,
00652,,,PR,
00653,,,PR,
00656,,,PR,
00659,,,PR,
00660,,,PR,
00662,,,PR,
00664,,,PR,
00667,,,PR,
00669,,,PR,
00670,,,PR,
00673,,,PR,
00674,,,PR,
00676,,,PR,
00677,,,PR,
00678,,,PR,
00680,,,PR,
00681,,,PR,
00682,,,PR,
00683,,,PR,
00685,,,PR,
00687,,,PR,
00688,,,PR,
00690,,,PR,
00692,,,PR,
00693,,,PR,
00694,,,PR,
00695,,,PR,
00698,,,PR,
00703,,,PR,
00704,,,PR,
00705,,,PR,
00707,,,PR,
00708,,,PR,
00714,,,PR,
00716,,,PR,
00717,,,PR,
00718,,,PR,
00719,,,PR,
00720,,,PR,
00723,,,PR,
00725,,,PR,
00726,,,PR,
00727,,,PR,
00728,,,PR,
00729,,,PR,
00730,,,PR,
00731,,,PR,
00732,,,PR,
00733,,,PR,
00735,,,PR,
00736,,,PR,
00737,,,PR,
00738,,,PR,
00739,,,PR,
00740,,,PR,
00745,,,PR,
00751,,,PR,
00754,,,PR,
00757,,,PR,
00765,,,PR,
00766,,,PR,
00767,,,PR,
00769,,,PR,
00771,,,PR,
00772,,,PR,
00773,,,PR,
00775,,,PR,
00777,,,PR,
00778,,,PR,
00780,,,PR,
00782,,,PR,
00783,,,PR,
00784,,,PR,
00785,,,PR,
00791,,,PR,
00792,,,PR,
00794,,,PR,
00795,,,PR,
00801,,,PR,
00802,,,PR,
00803,,,PR,
00805,,,PR,
00820,,,PR,
00821,,,PR,
00822,,,PR,
00823,,,PR,
00824,,,PR,
00831,,,PR,
00839,,,PR,
00840,,,PR,
00841,,,PR,
00850,,,PR,
00851,,,PR,
00901,,,PR,
00907,,,PR,
00911,,,PR,
00913,,,PR,
00915,,,PR,
00917,,,PR,
00918,,,PR,
00920,,,PR,
00921,,,PR,
00923,,,PR,
00924,,,PR,
00925,,,PR,
00926,,,PR,
00927,,,PR,
00949,,,PR,
00951,,,PR,
00952,,,PR,
00953,,,PR,
00956,,,PR,
00957,,,PR,
00958,,,PR,
00959,,,PR,
00960,,,PR,
00961,,,PR,
00962,,,PR,
00965,,,PR,
00966,,,PR,
00968,,,PR,
00969,,,PR,
00970,,,PR,
00971,,,PR,
00976,,,PR,
00977,,,PR,
00979,,,PR,
00981,,,PR,
00982,,,PR,
00983,,,PR,
00984,,,PR,
00985,,,PR,
00986,,,PR,
00987,,,PR,
01000,42.555371,-71.302106,MA,
01001,42.248971,-71.149706,MA,
01002,42.367771,-71.606506,MA,
01005,42.624171,-71.341306,MA,
01006,41.942571,-71.797706,MA,
01007,42.436571,-71.645706,MA,
01009,42.298971,-71.567306,MA,
01010,41.926171,-71.159306,MA,
01011,42.232571,-71.311706,MA,
01012,42.113771,-71.655306,MA,
01013,42.420171,-71.807706,MA,
01020,42.566971,-71.329706,MA,
